"Collar","GeolFrom","GeolTo","Chk","Geology_Comment","LithLocal","LithContact","LithAbund1","LithSpec1","LithMod1","LithColorMod1","LithColor1","LithAbund2","LithSpec2","LithMod2","LithColorMod2","LithColor2","LithAbund3","LithSpec3","LithMod3","LithColorMod3","LithColor3","LithAbund4","LithSpec4","LithMod4","LithColorMod4","LithColor4","LithAbund5","LithSpec5","LithMod5","LithColorMod5","LithColor5","Lithology_Category"
"EVE-20-01","79.25","92.9","0","Fault zone in Metavolcanic rocks; coarse grained with crushed-brecciated intervals, oxidized-mixed-primary sulfides interval, at bottom start fresh Py  (Primary sulfide). Fractures filled with hm 40°. Qtz veinlets with 50°.","No data","No data","No data","FaultBreccia","No data","No data","Orange","No data","Metavolcanic","Coarse_Grained","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","92.9","109.65","0","Decrease faulting-foliated intervals: erratic milky Qtz  veinlets with low FeOx (hm) on walls of veinlets; clay   >   prop  >   ser alteration; disseminated, fine-grained pyrite along fractures 50°.","No data","No data","No data","Metavolcanic","Coarse_Grained","No data","Orange","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","109.65","113.35","0","Foliated metavolcanic, green color; scarce milky Qtz veinlets, 2 cm wide with Hm (FeOx) halo (narrow).","No data","No data","No data","Metavolcanic","Coarse_Grained","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","113.35","127.25","0","Bleached Metavolcanic; coarse texture with faulting narrow faults (60°;  20 cm wide). Fractures & foliation with angles ranging between 15 & 25°.","No data","No data","No data","Metavolcanic","Coarse_Grained","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","127.25","139.7","0","Green to pale green foliated, weakly leached; coarse grained; calcite veinlets 2-10 mm.","No data","No data","No data","Metavolcanic","Coarse_Grained","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","139.7","154.85","0","Metavolcanic tuff, fine grained grey color; erratic fault 60° with drag folding; decrease fresh disseminated Py,  >  1%, 2 cm wide (erratic)","No data","No data","No data","Metavolcanic","Fine_Grained","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","154.85","155.2","0","Pale green Metavolcanic coarse grained with calcite veinlets, fault zone.","No data","No data","No data","Metavolcanic","Coarse_Grained","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","0","23.65","0","Fine grained andesite with Qtz+ calcite + PyOx 50°   >   1 cm wide; disseminated calcite and as erratic veinlets   <   2-3 mm; PyOx associated to fractures faulting and Qtz + calcite veinlets FeOx halo.","No data","No data","No data","Andesite","Fine_Grained","No data","Brown","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","23.65","29","0","Metavolcanic, coarse grained, with Qtz + calcite + PyOx veinlets 1-2.5 cm wide associated to top of faulting (upper contact 45°, lower 30°)","No data","No data","No data","Metavolcanic","Coarse_Grained","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","29","47.85","0","Metarhyolite, coarse grained, foliated; foliation varies 15-30°. 44.05-46.3 Fault zone (29°) from 44.05 to 47.85 m.","No data","No data","No data","Metarhyolite","Coarse_Grained","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","47.85","56.25","0","Metarhyolite, gray-green, foliated; foliation varies 15-30°. 44.05-46.3 Fault zone (47.85°) from 52.00 to 56.25.","No data","No data","No data","Metarhyolite","Foliated","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","56.25","62.25","0","Metarhyolite, gray; erratic-patchy silicification, crushed interval, with strong orange color, increase Qtz + PyOx veinlets 42° 1-15 cm wide average.","No data","No data","No data","Metarhyolite","Fault","No data","Orange","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","62.25","68.05","0","Metarhyolite, orange to gray, weekly altered; foliation 50°; disseminate calcite and veinlets 1-2 mm + FeOx; moderated fractures.","No data","No data","No data","Metarhyolite","No data","No data","Orange","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","68.05","76.65","0","Fault zone. Weak to moderate calcite disseminated associated with Qtz+ PyO + Py fresh + calcite & erratic Qtz + Py + Galena (traces) veinlets with calcite(thickness   >   10 cm) 40° associate with fault, mixed zone (Sulfides +  Oxides); disseminated  Py 1-2%.","No data","No data","No data","Gouge","Fault","No data","Orange","No data","Rhyolite","No data","No data","Orange","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","76.65","79.85","0","Metarhyolite, green orange, coarse grained; Moderate to strong fracturing; foliation 45-50°, mixed zone with fresh-fine Py  2-3%, disseminated; hm along fractures/faulting, 79.50 m, Qtz galena veinlets 1 cm,  20°; fault associate strong clay and gouge.","No data","No data","No data","Metarhyolite","Coarse_Grained","No data","Orange","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","79.85","103.55","0","Metavolcanic. Coarse grained rock with moderate fracturing and intercalated faults; foliation 70°, Fault zone from 88.10 to 93.75; this interval increase 3% disseminated Py  + chlorite, erratic Qtz veinlets; angles from faulting: top 70° bottom 75°.","No data","No data","No data","Metavolcanic","Coarse_Grained","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
